EntityID,fov,volume,center_x,center_y,min_x,min_y,max_x,max_y,anisotropy,transcript_count,perimeter_area_ratio,solidity,PolyT_raw,PolyT_high_pass,DAPI_raw,DAPI_high_pass
2362949900000100036,10,1262.1918000633484,8318.03040132644,1289.7556165558938,8311.983883817857,1283.7952486523527,8324.16307830106,1295.6224384133386,1.3216342916526815,25,0.3752936166510824,0.9552478335307614,29099782.0,317945.6623486243,14004913.0,332384.5217358236
2362949900001100114,9,2093.513868361863,8618.771844333894,1259.0419922284902,8611.29283747777,1251.5751325317976,8626.300734271155,1266.6705630031522,1.0868930315776335,140,0.27130407408535,1.0,87887378.0,793144.2196275939,34280845.0,672803.622170442
2362949900001100120,13,337.9967750396438,8613.129843083581,1437.5788897803886,8609.864530807425,1433.752129457222,8616.748216064641,1441.7464843636103,2.314427307574209,5,0.7999342971149632,0.940346628623096,8613142.0,97721.81193433232,3840945.0,76098.09290869255
2362949900001100122,14,2059.31319994405,8744.472386733018,1448.9056104782742,8738.445324122447,1440.2369637500046,8752.292319365588,1459.9307554193006,1.7262857022619194,366,0.3213416659759888,0.9200751224892773,72317783.0,879184.451515416,29143933.0,662612.3319034282
2362949900001100126,14,706.1850627557486,8783.17001733414,1556.8958375972438,8777.088311515905,1553.7291419734397,8789.112090820046,1560.2226990460622,1.9186343613855164,3,0.5091025869367277,0.9883471396921308,23031984.0,247290.60875053843,85542789.0,967061.9422657144
2362949900001100127,14,1033.61109125616,8807.222888726365,1559.060103721742,8800.66550287087,1555.0001692239202,8815.490052138412,1563.5153799510829,1.746886679778599,103,0.4404929583225048,0.932150766744406,38085393.0,378639.4596073999,121913779.0,1113831.671204906
2362949900001100128,14,550.360168891275,8775.895408045735,1560.755505526628,8771.735293016642,1556.4196636335,8780.67854429099,1564.3138998629524,1.193685372743398,46,0.5715499792806628,0.9529006689304224,22123212.0,254044.5689820425,89219641.0,888985.748179388
2362949900001100129,14,489.1074096500212,8767.884237607404,1560.3568199096842,8762.092678713143,1557.3391232620393,8772.770175743084,1562.8134984202925,2.1216642793967977,24,0.6574324591721199,0.9640150459348013,17972833.0,251119.3581488778,77108185.0,1658565.6726970656
2362949900001100130,14,1257.434132966671,8752.333767951408,1565.4693915709229,8746.190155317447,1558.7104905733315,8757.37524729548,1571.5284380079083,1.1378361945255129,71,0.3897554664111165,0.9272178177479872,53893113.0,530623.3956617138,306829934.0,2583611.59284825
2362949900001100131,14,900.5664381410933,8785.623761372044,1563.5113289966337,8779.789969279147,1558.9633310036577,8791.319420842643,1568.2410047347275,1.429604986229909,71,0.4465581965330648,0.9639062750034768,36553424.0,357920.58796706045,149059673.0,1314865.883202614
