EntityID,fov,volume,center_x,center_y,min_x,min_y,max_x,max_y,anisotropy,transcript_count,perimeter_area_ratio,solidity,PolyT_raw,PolyT_high_pass,DAPI_raw,DAPI_high_pass
2362950000000100024,49,762.5135008283925,9336.122362257638,2737.402973604629,9331.403645936423,2732.7697156281474,9340.18091342898,2742.239774886114,1.0982108731703573,103,0.4585577943079134,1.0,18013590.0,177389.90972429636,8562720.0,166556.78164075813
2362950000000100025,50,461.612091910512,9271.4965754561,2810.100312878216,9268.275581022675,2806.4464999688084,9275.020766655654,2813.7306697875533,1.097293975824483,13,0.58452994277976,0.9999999999999998,9544309.0,62402.37467373253,5894018.0,64964.95143514195
2362950000000100028,51,1581.2340713655626,9247.100049638468,2859.13085134222,9240.803511340097,2852.025685242425,9254.123844338676,2865.969314750251,1.098237988067371,7,0.3257942415754486,0.9705334318807664,36715162.0,331164.0809515773,20223064.0,368135.056101069
2362950000000100029,52,1897.369835770976,9302.633278759518,2869.153884962911,9296.529550150164,2861.122901559433,9309.25010399362,2877.324320950865,1.3772259936881115,195,0.2965412721093697,0.9792012166731752,55186734.0,529218.4058457135,184598316.0,1832236.8531727388
2362950000000100030,51,771.27069508984,9254.576921615131,2874.3437793890885,9249.97016543744,2869.0841462947187,9258.777361925138,2879.1143758929225,1.143859813223446,35,0.4573617108671061,0.992862759081865,18303752.0,144703.69629809982,19777553.0,238234.08365607404
2362950000000100031,52,1293.9332120464187,9336.594720709623,2879.84951356002,9330.092418047492,2874.470087476123,9343.102893403451,2885.8125929977623,1.1655943484756597,183,0.3551819175033141,0.9917212330864176,39851211.0,356635.642741381,134932239.0,1315633.2684587757
2362950000000100032,52,1632.5338390626594,9298.713330370323,2884.0794243461305,9291.1212580984,2877.7450363819894,9305.488437191343,2890.5906269442894,1.3569023561213496,94,0.316502603423721,1.0,44608568.0,431067.5706102258,94412656.0,1108941.2300643465
2362950000000100033,52,2027.7784623075568,9431.909561118367,2887.29513599386,9423.854504674811,2878.1797171273165,9438.063520261449,2896.4024162999126,1.3391744066414633,133,0.2980362945516071,0.9648284370326417,81090720.0,693460.2748211571,275158748.0,2428163.1398374857
2362950000000100034,51,1816.083366050548,9272.747200842135,2888.673045914932,9265.904329496489,2881.6831228485867,9279.876318039747,2895.660490369621,1.202918269952446,66,0.2944333332847235,0.9987616989627472,53359123.0,433700.1749831136,176918668.0,1839122.7765101208
2362950000000100035,52,786.697030795483,9362.926852263556,2886.7819247634206,9355.68561788921,2882.262234499217,9368.522675496492,2891.712548904401,1.6824882518132265,67,0.5495712213613902,0.8524124483291997,29797989.0,256549.56017850887,101580128.0,1007245.4976632496
